date,listeners,streams,followers
2020-05-08,1271,1771,468
2020-05-07,1251,1681,464
2020-05-06,1123,1521,458
2020-05-05,1125,1586,456
2020-05-04,916,1328,454
2020-05-03,702,1050,453
2020-05-02,741,1218,453
2020-05-01,733,1050,450
2020-04-30,626,977,449
2020-04-29,520,1038,579
2020-04-28,464,915,598
2020-04-27,191,425,594
2020-04-26,176,346,591
2020-04-25,158,286,588
2020-04-24,200,340,587
2020-04-23,181,312,585
2020-04-22,144,189,584
2020-04-21,163,246,584
2020-04-20,166,242,583
2020-04-19,169,309,581
2020-04-18,161,271,581
2020-04-17,171,249,581
2020-04-16,176,246,581
2020-04-15,161,226,582
2020-04-14,149,235,582
2020-04-13,145,243,581
2020-04-12,116,202,582
2020-04-11,120,309,582
2020-04-10,149,278,581
2020-04-09,116,181,580
2020-04-08,116,150,577
2020-04-07,108,152,577
2020-04-06,115,157,577
2020-04-05,110,147,576
2020-04-04,123,176,576
2020-04-03,98,140,576
2020-04-02,113,146,576
2020-04-01,112,161,576
2020-03-31,85,107,576
2020-03-30,97,128,577
2020-03-29,84,136,577
2020-03-28,91,168,577
2020-03-27,130,160,577
2020-03-26,109,147,577
2020-03-25,113,137,577
2020-03-24,111,184,576
2020-03-23,113,147,569
2020-03-22,120,182,569
2020-03-21,136,216,569
2020-03-20,147,219,569
2020-03-19,126,195,567
2020-03-18,149,225,567
2020-03-17,153,219,567
2020-03-16,172,234,567
2020-03-15,97,149,566
2020-03-14,104,183,567
2020-03-13,101,128,567
2020-03-12,111,153,567
2020-03-11,99,116,567
2020-03-10,119,238,567
2020-03-09,114,179,568
2020-03-08,142,218,568
2020-03-07,100,117,567
2020-03-06,108,148,567
2020-03-05,136,170,568
2020-03-04,126,172,567
2020-03-03,114,154,566
2020-03-02,198,236,566
2020-03-01,329,397,565
2020-02-29,286,321,564
2020-02-28,325,384,564
2020-02-27,328,394,564
2020-02-26,307,379,563
2020-02-25,309,368,562
2020-02-24,341,415,563
2020-02-23,285,324,563
2020-02-22,322,383,563
2020-02-21,283,365,560
2020-02-20,333,416,560
2020-02-19,340,547,559
2020-02-18,345,377,559
2020-02-17,318,376,559
2020-02-16,313,351,559
2020-02-15,301,347,558
2020-02-14,287,315,556
2020-02-13,340,389,555
2020-02-12,319,369,555
2020-02-11,355,444,555
2020-02-10,366,414,555
2020-02-09,241,279,555
2020-02-08,105,135,555
2020-02-07,123,155,555
2020-02-06,103,137,555
2020-02-05,103,132,554
2020-02-04,105,129,554
2020-02-03,143,177,554
2020-02-02,110,135,554
2020-02-01,103,147,554
2020-01-31,114,159,554
2020-01-30,106,152,554
2020-01-29,110,147,554
2020-01-28,104,135,554
2020-01-27,125,156,554
2020-01-26,115,190,554
2020-01-25,117,164,553
2020-01-24,106,127,553
2020-01-23,130,177,553
2020-01-22,127,152,553
2020-01-21,117,149,553
2020-01-20,123,148,552
2020-01-19,141,166,552
2020-01-18,115,151,551
2020-01-17,128,285,551
2020-01-16,144,180,551
2020-01-15,120,193,550
2020-01-14,141,207,549
2020-01-13,111,160,548
2020-01-12,111,149,547
2020-01-11,104,144,547
2020-01-10,115,170,547
2020-01-09,145,245,547
2020-01-08,145,192,547
2020-01-07,111,137,547
2020-01-06,100,121,547
